Interesujące. 6
Wygląda_na_to_że_Ci_się_układa. 7
To_wspaniale. 8
Świetnie._Na_pewno_się_bardzo_cieszysz. 8
Fantastyczna_wiadomość! 9
Jak_się_z_tym_czujesz? 5
Wspaniała_wiadomość. 9
To_wspaniale. 7
Świetnie._Na_pewno_się_bardzo_cieszysz. 7
Gratulacje. 7
To_świetnie. 7
Jakie_to_uczucie? 7
Gratulacje. 8
To_świetnie. 8
To_dobrze. 7
Cieszę_się. 8
Czego_obawiasz_się_najbardziej? 4
To_dla_Ciebie_z_pewnością_bardzo_stresujące. 2
To_niewyobrażalna_strata. 1
Wyobrażam_sobie_że_to_dla_Ciebie_bardzo_trudna_sytuacja. 1
Współczuję. 2
Bardzo_Ci_współczuję. 1
Bardzo_mi_przykro. 1
Przykro_mi. 1
Przykro_mi. 2
To_dla_Ciebie_z_pewnością_bardzo_trudne. 1
Czego_obawiasz_się_najbardziej? 3
Czego_się_obawiasz? 5
To_normalne_że_się_boisz. 3
Masz_kogoś_kto_Cię_wspiera? 2
Strach_jest_normalny_w_takiej_sytuacji. 1
Jest_ktoś_kto_Cię_wspiera? 2
To_zrozumiałe_że_się_boisz. 2
Może_nie_warto_martwić_się_na_zapas? 3
Nie_ma_sensu_martwić_się_na_zapas. 4
Niepotrzebnie_się_martwisz. 4
Na_pewno_wszystko_będzie_dobrze. 3
Martwisz_się_na_zapas. 4
Głowa_do_góry. 4
Masz_kogoś_kto_mógłby_Ci_pomóc? 2
Może_warto_poprosić_kogoś_o_wsparcie? 3
Masz_kogoś_kto_mógłby_Ci_w_tej_sytuacji_pomóc? 2
Może_nie_jest_tak_źle_jak_Ci_się_wydaje? 4
Zastanów_się_czy_na_pewno_nie_wyolbrzymiasz_sytuacji. 5
Pomyśl_jak_rozwiązać_tę_sytuację. 3
Na_pewno_wszystko_będzie_dobrze. 4
Jakiej_oczekujesz_odpowiedzi? 0
Muszę_się_zastanowić. 0
Jaką_odpowiedź_chcesz_usłyszeć? 0
Ciekawi_Cię_co_odpowiem? 0
Czego_ode_mnie_oczekujesz? 0
Dlaczego_o_to_pytasz? 0
